material_entity_id,material_entity_type,preparations,disposition,institution_code,institution_id,collection_code,collection_id,owner_institution_code,catalog_number,record_number,recorded_by,recorded_by_id,associated_references,associated_sequences,other_catalog_numbers
org_point_72_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_73_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_0_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_1_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_2_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_3_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_4_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_5_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_6_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_7_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_8_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_9_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_10_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_11_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_12_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_13_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_14_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_15_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_16_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_17_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_18_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_19_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_20_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_21_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_22_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_23_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_24_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_25_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_26_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_27_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_28_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_29_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_30_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_31_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_32_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_33_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_34_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_35_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_36_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_37_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_38_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_39_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_40_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_41_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_42_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_43_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_44_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_45_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_46_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_47_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_48_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_49_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_50_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_51_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_52_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_53_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_54_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_55_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_56_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_57_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_58_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_59_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_60_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_61_1.05_L371,Organism,,,,,,,,,,,,,,
org_point_62_1.05_L371,Organism,,,,,,,,,,,,,,
