digital_entity_id,digital_entity_type,access_uri,web_statement,format,license,rights,rights_uri,access_rights,rights_holder,source,source_uri,creator,created,modified,language,bibliographic_citation
digent_14.06_L369,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_14.06_R370,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_14.11_L373,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_14.11_R374,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_14.12_L367,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_14.12_R368,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_14.13_L378,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_14.13_R377,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_15.01_L378,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_15.01_R377,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_15.02_L375,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_15.02_R376,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_15.05_L367,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_15.05_R368,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_15.07_L372,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_15.07_R371,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_15.12_L373,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_15.12_R374,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_16.01_L372,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_16.01_R371,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_16.02_L373,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_16.02_R374,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_16.03_L367,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_16.03_R368,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_16.04_L375,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_16.04_R376,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_16.05_L369,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_16.05_R370,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_17.08_L378,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_17.08_R377,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_18.01_L369,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_18.01_R370,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_18.02_L378,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_18.02_R377,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_18.03_L375,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_18.03_R376,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_18.04_L367,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_18.04_R368,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_18.07_L373,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_18.07_R374,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_18.08_L372,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_18.08_R371,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_19.01_L372,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_19.01_R371,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_19.02_L373,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_19.02_R374,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_19.03_L378,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_19.03_R377,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_19.04_L367,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_19.04_R368,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_19.05_L369,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_19.05_R370,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_19.08_L375,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_19.08_R376,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_2.02_L378,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_2.03_L372,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_2.03_R371,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_2.04_L375,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_2.04_R376,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_2.05_L367,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_2.05_R368,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_2.06_L369,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_2.06_R370,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_2.07_L373,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_2.07_R374,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_23.01_L373,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_23.01_R374,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_23.02_L367,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_23.02_R368,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_23.03_L378,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_23.03_R377,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_23.04_L369,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
