deploymentID,locationID,locationName,latitude,longitude,coordinateUncertainty,deploymentStart,deploymentEnd,setupBy,cameraID,cameraModel,cameraDelay,cameraHeight,cameraTilt,cameraHeading,detectionDistance,timestampIssues,baitUse,featureType,habitat,deploymentGroups,deploymentTags,deploymentComments
10.01,10,Ningaloo Marine Park,-22.67587323,113.5564085,50,2019-08-12T12:13:00Z,2019-08-12T12:13:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
10.02,10,Ningaloo Marine Park,-22.67334399,113.5564085,50,2019-08-12T12:19:00Z,2019-08-12T12:19:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
10.03,10,Ningaloo Marine Park,-22.66874535,113.5628228,50,2019-08-12T12:24:00Z,2019-08-12T12:24:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
10.04,10,Ningaloo Marine Park,-22.6669059,113.5518948,50,2019-08-12T12:33:00Z,2019-08-12T12:33:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
10.07,10,Ningaloo Marine Park,-22.67311405,113.5400165,50,2019-08-12T12:40:00Z,2019-08-12T12:40:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
10.08,10,Ningaloo Marine Park,-22.67035488,113.5383536,50,2019-08-12T12:46:00Z,2019-08-12T12:46:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
10.09,10,Ningaloo Marine Park,-22.62918,113.55942,50,2019-08-12T14:34:00Z,2019-08-12T14:34:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
10.11,10,Ningaloo Marine Park,-22.61773,113.5636,50,2019-08-12T14:41:00Z,2019-08-12T14:41:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
10.12,10,Ningaloo Marine Park,-22.59615,113.57775,50,2019-08-12T15:20:00Z,2019-08-12T15:20:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
10.13,10,Ningaloo Marine Park,-22.638,113.579,50,2019-08-12T14:53:00Z,2019-08-12T14:53:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
10.14,10,Ningaloo Marine Park,-22.624,113.5916667,50,2019-08-12T15:02:00Z,2019-08-12T15:02:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
10.15,10,Ningaloo Marine Park,-22.6058333,113.594,50,2019-08-12T15:10:00Z,2019-08-12T15:10:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
11.01,11,Ningaloo Marine Park,-22.54044354,113.6215013,50,2019-08-12T08:06:00Z,2019-08-12T08:06:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
11.02,11,Ningaloo Marine Park,-22.5365347,113.6248272,50,2019-08-12T08:11:00Z,2019-08-12T08:11:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
11.03,11,Ningaloo Marine Park,-22.53377552,113.6274404,50,2019-08-12T08:15:00Z,2019-08-12T08:15:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
11.04,11,Ningaloo Marine Park,-22.52871703,113.6243521,50,2019-08-12T08:19:00Z,2019-08-12T08:19:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
11.05,11,Ningaloo Marine Park,-22.52618778,113.6255399,50,2019-08-12T08:25:00Z,2019-08-12T08:25:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
11.06,11,Ningaloo Marine Park,-22.52388847,113.6345674,50,2019-08-12T08:31:00Z,2019-08-12T08:31:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
12.02,12,Ningaloo Marine Park,-22.46724,113.67504,50,2019-08-12T10:37:00Z,2019-08-12T10:37:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
12.03,12,Ningaloo Marine Park,-22.46824503,113.6678265,50,2019-08-12T10:44:00Z,2019-08-12T10:44:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
12.04,12,Ningaloo Marine Park,-22.46433619,113.6687767,50,2019-08-12T10:48:00Z,2019-08-12T10:48:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
12.05,12,Ningaloo Marine Park,-22.4673253,113.6599868,50,2019-08-12T10:29:00Z,2019-08-12T10:29:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
12.06,12,Ningaloo Marine Park,-22.46548585,113.6573736,50,2019-08-12T10:25:00Z,2019-08-12T10:25:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
12.11,12,Ningaloo Marine Park,-22.48475,113.64333,50,2019-08-12T10:14:00Z,2019-08-12T10:14:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
13.02,13,Ningaloo Marine Park,-22.40386419,113.7058369,50,2019-08-12T12:32:00Z,2019-08-12T12:32:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
13.03,13,Ningaloo Marine Park,-22.39903562,113.7013231,50,2019-08-12T12:52:00Z,2019-08-12T12:52:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
13.04,13,Ningaloo Marine Park,-22.39765604,113.6972845,50,2019-08-12T12:48:00Z,2019-08-12T12:48:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
13.05,13,Ningaloo Marine Park,-22.40087508,113.6932459,50,2019-08-12T12:43:00Z,2019-08-12T12:43:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
13.06,13,Ningaloo Marine Park,-22.40478391,113.6922957,50,2019-08-12T12:39:00Z,2019-08-12T12:39:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
13.08,13,Ningaloo Marine Park,-22.39328734,113.7039364,50,2019-08-12T12:56:00Z,2019-08-12T12:56:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
14.01,14,Ningaloo Marine Park,-22.32524,113.72408,50,2019-08-12T14:46:00Z,2019-08-12T14:46:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
14.02,14,Ningaloo Marine Park,-22.30284,113.73251,50,2019-08-12T15:12:00Z,2019-08-12T15:12:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
14.03,14,Ningaloo Marine Park,-22.27651,113.74266,50,2019-08-12T15:25:00Z,2019-08-12T15:25:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
14.06,14,Ningaloo Marine Park,-22.17832,113.79046,50,2019-08-12T08:12:00Z,2019-08-12T08:12:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
14.11,14,Ningaloo Marine Park,-22.3266667,113.7371667,50,2019-08-12T14:53:00Z,2019-08-12T14:53:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
14.12,14,Ningaloo Marine Park,-22.3071667,113.746,50,2019-08-12T15:05:00Z,2019-08-12T15:05:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
14.13,14,Ningaloo Marine Park,-22.2866667,113.7416667,50,2019-08-12T15:20:00Z,2019-08-12T15:20:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
15.01,15,Ningaloo Marine Park,-22.17344,113.7915,50,2019-08-12T08:16:00Z,2019-08-12T08:16:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
15.02,15,Ningaloo Marine Park,-22.16882,113.7941,50,2019-08-12T08:20:00Z,2019-08-12T08:20:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
