mediaID,deploymentID,captureMethod,timestamp,filePath,filePublic,fileName,fileMediatype,exifData,favorite,mediaComments
6.02_R371,6.02,motionDetection,2019-08-12T13:31:00Z,https://data.csiro.au/collection/,true,6.02_R371.avi,video/x-msvideo,,,
6.03_L375,6.03,motionDetection,2019-08-12T13:25:00Z,https://data.csiro.au/collection/,true,6.03_L375.avi,video/x-msvideo,,,
6.03_R376,6.03,motionDetection,2019-08-12T13:25:00Z,https://data.csiro.au/collection/,true,6.03_R376.avi,video/x-msvideo,,,
6.04_L367,6.04,motionDetection,2019-08-12T13:21:00Z,https://data.csiro.au/collection/,true,6.04_L367.avi,video/x-msvideo,,,
6.04_R368,6.04,motionDetection,2019-08-12T13:21:00Z,https://data.csiro.au/collection/,true,6.04_R368.avi,video/x-msvideo,,,
6.05_L369,6.05,motionDetection,2019-08-12T13:15:00Z,https://data.csiro.au/collection/,true,6.05_L369.avi,video/x-msvideo,,,
6.05_R370,6.05,motionDetection,2019-08-12T13:15:00Z,https://data.csiro.au/collection/,true,6.05_R370.avi,video/x-msvideo,,,
6.12_L373,6.12,motionDetection,2019-08-12T13:11:00Z,https://data.csiro.au/collection/,true,6.12_L373.avi,video/x-msvideo,,,
6.12_R374,6.12,motionDetection,2019-08-12T13:11:00Z,https://data.csiro.au/collection/,true,6.12_R374.avi,video/x-msvideo,,,
7.01_L378,7.01,motionDetection,2019-08-12T08:24:00Z,https://data.csiro.au/collection/,true,7.01_L378.avi,video/x-msvideo,,,
7.01_R377,7.01,motionDetection,2019-08-12T08:24:00Z,https://data.csiro.au/collection/,true,7.01_R377.avi,video/x-msvideo,,,
7.02_L372,7.02,motionDetection,2019-08-12T08:21:00Z,https://data.csiro.au/collection/,true,7.02_L372.avi,video/x-msvideo,,,
7.02_R371,7.02,motionDetection,2019-08-12T08:21:00Z,https://data.csiro.au/collection/,true,7.02_R371.avi,video/x-msvideo,,,
7.03_L375,7.03,motionDetection,2019-08-12T08:16:00Z,https://data.csiro.au/collection/,true,7.03_L375.avi,video/x-msvideo,,,
7.03_R376,7.03,motionDetection,2019-08-12T08:16:00Z,https://data.csiro.au/collection/,true,7.03_R376.avi,video/x-msvideo,,,
7.04_L367,7.04,motionDetection,2019-08-12T08:13:00Z,https://data.csiro.au/collection/,true,7.04_L367.avi,video/x-msvideo,,,
7.04_R368,7.04,motionDetection,2019-08-12T08:13:00Z,https://data.csiro.au/collection/,true,7.04_R368.avi,video/x-msvideo,,,
7.05_L369,7.05,motionDetection,2019-08-12T08:08:00Z,https://data.csiro.au/collection/,true,7.05_L369.avi,video/x-msvideo,,,
7.05_R370,7.05,motionDetection,2019-08-12T08:08:00Z,https://data.csiro.au/collection/,true,7.05_R370.avi,video/x-msvideo,,,
7.08_L373,7.08,motionDetection,2019-08-12T08:03:00Z,https://data.csiro.au/collection/,true,7.08_L373.avi,video/x-msvideo,,,
7.08_R374,7.08,motionDetection,2019-08-12T08:03:00Z,https://data.csiro.au/collection/,true,7.08_R374.avi,video/x-msvideo,,,
8.01_L378,8.01,motionDetection,2019-08-12T10:00:00Z,https://data.csiro.au/collection/,true,8.01_L378.avi,video/x-msvideo,,,
8.01_R377,8.01,motionDetection,2019-08-12T10:00:00Z,https://data.csiro.au/collection/,true,8.01_R377.avi,video/x-msvideo,,,
8.02_L372,8.02,motionDetection,2019-08-12T10:06:00Z,https://data.csiro.au/collection/,true,8.02_L372.avi,video/x-msvideo,,,
8.02_R371,8.02,motionDetection,2019-08-12T10:06:00Z,https://data.csiro.au/collection/,true,8.02_R371.avi,video/x-msvideo,,,
